TYPE,AVERAGE DAMAGE DEALT,TYPE,AVERAGE DAMAGE TAKEN,TYPE,OVERALL SCORE
ICE/GROUND,1.8187134,STEEL/FAIRY,0.998538,FIRE/GROUND,1.2560948
GROUND/ROCK,1.7894737,FLYING/STEEL,1.0248538,ICE/GROUND,1.2527301
FIRE/GROUND,1.7719299,DRAGON/STEEL,1.0380117,GROUND/FAIRY,1.246959
GROUND/FLYING,1.7573099,NORMAL/GHOST,1.0438596,GROUND/STEEL,1.2458786
GROUND/FAIRY,1.7339181,POISON/DARK,1.0584795,GROUND/FLYING,1.2456077
FIGHTING/ROCK,1.6988304,GHOST/DARK,1.0584795,STEEL/FAIRY,1.2090654
ICE/FIGHTING,1.6842105,ELECTRIC/ELECTRIC,1.0877193,FLYING/STEEL,1.2079036
GROUND/BUG,1.6666666,WATER/STEEL,1.0950292,GROUND/BUG,1.2026638
GROUND/STEEL,1.6666666,NORMAL/NORMAL,1.0994152,FIGHTING/STEEL,1.1955221
FIGHTING/GROUND,1.6549708,STEEL/STEEL,1.1023391,POISON/GROUND,1.189099
FIGHTING/FLYING,1.6345029,GHOST/STEEL,1.1345029,FIRE/FIGHTING,1.1849182
ICE/ROCK,1.6315789,ELECTRIC/FLYING,1.1403508,FIRE/WATER,1.1828412
POISON/GROUND,1.6198831,ELECTRIC/FAIRY,1.1403508,FIRE/FAIRY,1.1772895
FIRE/FIGHTING,1.6140351,GHOST/FAIRY,1.1520468,WATER/FAIRY,1.1752061
GROUND/GHOST,1.6111112,FIGHTING/STEEL,1.1564327,FIGHTING/GHOST,1.1744832
ELECTRIC/GROUND,1.5994152,NORMAL/POISON,1.1578947,ELECTRIC/GROUND,1.1730701
FIGHTING/GHOST,1.5964912,WATER/ELECTRIC,1.1593567,WATER/GROUND,1.171787
ROCK/FAIRY,1.5964912,POISON/POISON,1.1608187,FIGHTING/FLYING,1.1698288
GROUND/DARK,1.5935673,NORMAL/FAIRY,1.1666666,ICE/FIGHTING,1.1696914
