NORMAL
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
DRAGON: ,92.2%,DARK: ,90.2%,DARK: ,88.2%
POISON: ,90.2%,ELECTRIC: ,88.2%,POISON: ,85.3%
FLYING: ,88.2%,ICE: ,88.2%,PSYCHIC: ,85.3%
PSYCHIC: ,86.3%,PSYCHIC: ,84.3%,DRAGON: ,85.3%
GHOST: ,86.3%,WATER: ,82.4%,ELECTRIC: ,84.3%
DARK: ,86.3%,GHOST: ,82.4%,GHOST: ,84.3%
FAIRY: ,84.3%,FIGHTING: ,80.4%,ICE: ,83.3%
STEEL: ,82.4%,POISON: ,80.4%,FLYING: ,82.4%
WATER: ,80.4%,BUG: ,80.4%,FAIRY: ,82.4%
ELECTRIC: ,80.4%,FAIRY: ,80.4%,WATER: ,81.4%
ROCK: ,80.4%,GROUND: ,78.4%,BUG: ,78.4%
FIRE: ,78.4%,DRAGON: ,78.4%,ROCK: ,77.5%
ICE: ,78.4%,FLYING: ,76.5%,FIRE: ,76.5%
GRASS: ,76.5%,FIRE: ,74.5%,FIGHTING: ,76.5%
BUG: ,76.5%,ROCK: ,74.5%,STEEL: ,76.5%
FIGHTING: ,72.5%,GRASS: ,70.6%,GROUND: ,74.5%
GROUND: ,70.6%,STEEL: ,70.6%,GRASS: ,73.5%

FIRE
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
FLYING: ,84.3%,ELECTRIC: ,84.3%,FLYING: ,81.4%
NORMAL: ,78.4%,POISON: ,84.3%,POISON: ,80.4%
STEEL: ,78.4%,WATER: ,78.4%,NORMAL: ,76.5%
POISON: ,76.5%,FLYING: ,78.4%,ELECTRIC: ,76.5%
ROCK: ,76.5%,ICE: ,76.5%,STEEL: ,76.5%
ICE: ,74.5%,BUG: ,76.5%,WATER: ,75.5%
WATER: ,72.5%,NORMAL: ,74.5%,ICE: ,75.5%
DRAGON: ,72.5%,STEEL: ,74.5%,ROCK: ,73.5%
ELECTRIC: ,68.6%,GROUND: ,70.6%,DRAGON: ,71.6%
GHOST: ,68.6%,ROCK: ,70.6%,BUG: ,70.6%
DARK: ,68.6%,DRAGON: ,70.6%,FAIRY: ,68.6%
FAIRY: ,68.6%,FIGHTING: ,68.6%,GHOST: ,67.6%
PSYCHIC: ,66.7%,FAIRY: ,68.6%,FIGHTING: ,66.7%
GRASS: ,64.7%,PSYCHIC: ,66.7%,GROUND: ,66.7%
FIGHTING: ,64.7%,GHOST: ,66.7%,PSYCHIC: ,66.7%
BUG: ,64.7%,DARK: ,62.7%,DARK: ,65.7%
GROUND: ,62.7%,GRASS: ,58.8%,GRASS: ,61.8%

WATER
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
GRASS: ,86.3%,ELECTRIC: ,84.3%,ELECTRIC: ,82.4%
NORMAL: ,80.4%,NORMAL: ,82.4%,NORMAL: ,81.4%
ELECTRIC: ,80.4%,GROUND: ,80.4%,GROUND: ,80.4%
GROUND: ,80.4%,FIRE: ,78.4%,DRAGON: ,78.4%
STEEL: ,80.4%,DRAGON: ,78.4%,GRASS: ,76.5%
DRAGON: ,78.4%,ICE: ,76.5%,ICE: ,76.5%
ICE: ,76.5%,FLYING: ,76.5%,FIRE: ,75.5%
ROCK: ,74.5%,PSYCHIC: ,74.5%,FLYING: ,73.5%
GHOST: ,74.5%,FIGHTING: ,72.5%,PSYCHIC: ,73.5%
DARK: ,74.5%,POISON: ,72.5%,ROCK: ,72.5%
FIRE: ,72.5%,BUG: ,72.5%,GHOST: ,72.5%
PSYCHIC: ,72.5%,FAIRY: ,72.5%,DARK: ,72.5%
FLYING: ,70.6%,ROCK: ,70.6%,STEEL: ,71.6%
FAIRY: ,70.6%,GHOST: ,70.6%,FAIRY: ,71.6%
POISON: ,68.6%,DARK: ,70.6%,POISON: ,70.6%
BUG: ,66.7%,GRASS: ,66.7%,BUG: ,69.6%
FIGHTING: ,62.7%,STEEL: ,62.7%,FIGHTING: ,67.6%

ELECTRIC
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
NORMAL: ,80.4%,NORMAL: ,88.2%,NORMAL: ,84.3%
WATER: ,80.4%,POISON: ,86.3%,WATER: ,82.4%
GRASS: ,80.4%,FIRE: ,84.3%,POISON: ,79.4%
ROCK: ,78.4%,WATER: ,84.3%,DRAGON: ,79.4%
DRAGON: ,78.4%,GROUND: ,80.4%,ROCK: ,77.5%
ICE: ,74.5%,PSYCHIC: ,80.4%,FIRE: ,76.5%
FLYING: ,74.5%,DRAGON: ,80.4%,GRASS: ,76.5%
GHOST: ,74.5%,ICE: ,78.4%,ICE: ,76.5%
DARK: ,74.5%,FIGHTING: ,78.4%,PSYCHIC: ,76.5%
POISON: ,72.5%,BUG: ,78.4%,FLYING: ,75.5%
PSYCHIC: ,72.5%,FAIRY: ,78.4%,GHOST: ,75.5%
STEEL: ,72.5%,FLYING: ,76.5%,DARK: ,75.5%
FAIRY: ,70.6%,ROCK: ,76.5%,STEEL: ,74.5%
FIRE: ,68.6%,GHOST: ,76.5%,FAIRY: ,74.5%
GROUND: ,66.7%,DARK: ,76.5%,GROUND: ,73.5%
BUG: ,58.8%,STEEL: ,76.5%,BUG: ,68.6%
FIGHTING: ,54.9%,GRASS: ,72.5%,FIGHTING: ,66.7%

GRASS
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
WATER: ,86.3%,BUG: ,84.3%,BUG: ,79.4%
ELECTRIC: ,80.4%,DRAGON: ,78.4%,WATER: ,76.5%
NORMAL: ,76.5%,ELECTRIC: ,72.5%,ELECTRIC: ,76.5%
STEEL: ,76.5%,FLYING: ,72.5%,DRAGON: ,76.5%
BUG: ,74.5%,NORMAL: ,70.6%,NORMAL: ,73.5%
DRAGON: ,74.5%,GROUND: ,70.6%,GROUND: ,71.6%
FAIRY: ,74.5%,PSYCHIC: ,70.6%,FAIRY: ,71.6%
ICE: ,72.5%,ICE: ,68.6%,ICE: ,70.6%
GROUND: ,72.5%,FIGHTING: ,68.6%,FLYING: ,69.6%
POISON: ,68.6%,FAIRY: ,68.6%,PSYCHIC: ,69.6%
PSYCHIC: ,68.6%,WATER: ,66.7%,FIGHTING: ,67.6%
FIGHTING: ,66.7%,DARK: ,66.7%,POISON: ,66.7%
FLYING: ,66.7%,POISON: ,64.7%,DARK: ,66.7%
GHOST: ,66.7%,FIRE: ,58.8%,STEEL: ,66.7%
DARK: ,66.7%,GHOST: ,58.8%,GHOST: ,62.7%
FIRE: ,64.7%,STEEL: ,56.9%,FIRE: ,61.8%
ROCK: ,62.7%,ROCK: ,54.9%,ROCK: ,58.8%

ICE
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
DRAGON: ,84.3%,NORMAL: ,88.2%,NORMAL: ,83.3%
FAIRY: ,80.4%,BUG: ,86.3%,FAIRY: ,79.4%
NORMAL: ,78.4%,ELECTRIC: ,78.4%,BUG: ,77.5%
WATER: ,76.5%,FAIRY: ,78.4%,WATER: ,76.5%
FLYING: ,76.5%,FIRE: ,76.5%,ELECTRIC: ,76.5%
FIRE: ,74.5%,WATER: ,76.5%,DRAGON: ,76.5%
ELECTRIC: ,74.5%,DARK: ,76.5%,FIRE: ,75.5%
POISON: ,74.5%,FLYING: ,74.5%,FLYING: ,75.5%
STEEL: ,74.5%,PSYCHIC: ,72.5%,STEEL: ,73.5%
GRASS: ,72.5%,ROCK: ,72.5%,POISON: ,72.5%
ROCK: ,72.5%,STEEL: ,72.5%,ROCK: ,72.5%
PSYCHIC: ,70.6%,FIGHTING: ,70.6%,DARK: ,72.5%
BUG: ,68.6%,POISON: ,70.6%,PSYCHIC: ,71.6%
GHOST: ,68.6%,GHOST: ,70.6%,GRASS: ,70.6%
DARK: ,68.6%,GRASS: ,68.6%,GHOST: ,69.6%
GROUND: ,56.9%,GROUND: ,68.6%,GROUND: ,62.7%
FIGHTING: ,49.0%,DRAGON: ,68.6%,FIGHTING: ,59.8%

FIGHTING
DEFENSIVE SIMILARITIES,,OFFENSIVE SIMILARITIES,,OVERALL SIMILARITIES
TYPE,SCORE,TYPE,SCORE,TYPE,SCORE,
BUG: ,74.5%,POISON: ,82.4%,NORMAL: ,76.5%
NORMAL: ,72.5%,DARK: ,82.4%,BUG: ,76.5%
GROUND: ,68.6%,NORMAL: ,80.4%,DARK: ,73.5%
STEEL: ,68.6%,ELECTRIC: ,78.4%,POISON: ,72.5%
GRASS: ,66.7%,BUG: ,78.4%,FAIRY: ,72.5%
DRAGON: ,66.7%,FAIRY: ,78.4%,DRAGON: ,71.6%
