AVERAGE DAMAGE DEALT,AVERAGE DAMAGE TAKEN,OVERALL SCORE
Ground:1.166667,Steel:0.833333,Steel:1.127778
Rock:1.138889,Ghost:0.944444,Ground:1.057018
Fire:1.111111,Electric:0.972222,Fairy:1.055952
Ice:1.111111,Poison:0.972222,Fire:1.055556
Water:1.083333,Fairy:0.972222,Ghost:1.043301
Fighting:1.083333,Normal:1.000000,Water:1.041667
Flying:1.083333,Fire:1.000000,Flying:1.028153
Fairy:1.083333,Water:1.000000,Fighting:1.003205
Steel:1.055556,Flying:1.027778,Electric:1.000397
Bug:1.027778,Ground:1.055556,Dark:0.987573
Ghost:1.027778,Dragon:1.055556,Poison:0.986508
Dark:1.027778,Dark:1.055556,Rock:0.978535
Psychic:1.000000,Fighting:1.083333,Bug:0.975427
Electric:0.972222,Bug:1.083333,Ice:0.974160
Grass:0.972222,Psychic:1.111111,Dragon:0.959795
Dragon:0.972222,Grass:1.166667,Psychic:0.950000
Poison:0.944444,Ice:1.194444,Normal:0.944444
Normal:0.888889,Rock:1.222222,Grass:0.914683
